Bug_ID	Revision_NO	is_Matched
227493	31	TRUE
231296	551	TRUE
234428	51	TRUE
234428	52	TRUE
234428	54	TRUE
234428	55	TRUE
234428	56	TRUE
235029	59	TRUE
235029	60	TRUE
241158	83	TRUE
245347	120	TRUE
247254	145	TRUE
253178	188	TRUE
254864	421	TRUE
257889	335	TRUE
257893	264	TRUE
257893	266	TRUE
263148	269	TRUE
264857	267	TRUE
266231	274	TRUE
266231	276	TRUE
266348	271	TRUE
272887	513	TRUE
279527	341	TRUE
279527	345	TRUE
279527	346	TRUE
294311	428	TRUE
294350	425	TRUE
294350	426	TRUE
295603	430	TRUE
295603	431	TRUE
295603	475	TRUE
295603	500	TRUE
295603	502	TRUE
295603	503	TRUE
295603	515	TRUE
299252	761	TRUE
299252	762	TRUE
299252	763	TRUE
299252	764	TRUE
299252	766	TRUE
299252	767	TRUE
299252	768	TRUE
299252	769	TRUE
299252	770	TRUE
299252	771	TRUE
299252	772	TRUE
299252	773	TRUE
299252	774	TRUE
299252	775	TRUE
299252	776	TRUE
299252	777	TRUE
299252	784	TRUE
299252	785	TRUE
299252	786	TRUE
299252	787	TRUE
300676	524	TRUE
300676	525	TRUE
300676	536	TRUE
300676	537	TRUE
300676	543	TRUE
300676	544	TRUE
300676	545	TRUE
301543	538	TRUE
301543	539	TRUE
301543	540	TRUE
301664	547	TRUE
301970	552	TRUE
303596	562	TRUE
305150	594	TRUE
306803	597	TRUE
306803	598	TRUE
307176	608	TRUE
307396	617	TRUE
308047	618	TRUE
308047	621	TRUE
308047	622	TRUE
308047	623	TRUE
308047	624	TRUE
308047	627	TRUE
308047	829	TRUE
312567	797	TRUE
312567	799	TRUE
312567	800	TRUE
313636	812	TRUE
313923	841	TRUE
313923	843	TRUE
313923	844	TRUE
317278	845	TRUE
317278	846	TRUE
317446	826	TRUE
317550	828	TRUE
318263	917	TRUE
318263	918	TRUE
318263	919	TRUE
318288	839	TRUE
318288	840	TRUE
318288	847	TRUE
318288	851	TRUE
318479	1003	TRUE
318479	1004	TRUE
318479	1005	TRUE
318479	1006	TRUE
318479	1016	TRUE
318559	896	TRUE
318559	914	TRUE
318618	895	TRUE
318635	848	TRUE
318635	849	TRUE
318635	864	TRUE
318982	852	TRUE
319754	856	TRUE
319757	891	TRUE
319757	892	TRUE
319757	893	TRUE
320990	867	TRUE
321008	868	TRUE
321008	870	TRUE
321008	871	TRUE
321008	887	TRUE
321008	898	TRUE
321008	899	TRUE
321008	900	TRUE
321008	901	TRUE
321008	902	TRUE
321008	903	TRUE
321013	869	TRUE
321013	872	TRUE
321013	873	TRUE
321325	877	TRUE
321325	878	TRUE
321435	879	TRUE
321435	880	TRUE
321463	881	TRUE
321463	882	TRUE
322121	888	TRUE
322121	889	TRUE
322206	894	TRUE
331686	974	TRUE
332141	976	TRUE
337462	1055	TRUE
337462	1056	TRUE
226835	20	TRUE
226835	165	FALSE
246853	140	FALSE
246853	142	FALSE
246853	165	TRUE
249654	166	TRUE
250741	165	TRUE
252562	398	TRUE
255510	279	TRUE
256154	187	FALSE
256154	190	FALSE
256154	191	FALSE
256154	246	TRUE
256154	247	FALSE
256155	190	FALSE
256155	191	TRUE
256248	190	TRUE
256248	191	FALSE
257791	247	TRUE
257885	233	TRUE
258222	209	TRUE
258222	211	TRUE
258224	209	FALSE
258224	214	TRUE
258224	215	TRUE
267592	273	TRUE
269165	568	TRUE
269165	569	TRUE
270777	292	TRUE
270777	470	TRUE
270782	288	TRUE
270782	292	FALSE
270787	288	TRUE
270787	292	FALSE
273915	427	TRUE
274539	429	TRUE
278362	378	TRUE
278366	327	TRUE
278367	527	TRUE
281622	438	FALSE
281622	548	TRUE
281622	549	TRUE
281622	550	TRUE
282300	380	TRUE
282300	405	TRUE
299371	630	TRUE
299371	632	TRUE
299371	633	TRUE
299371	637	TRUE
299371	638	TRUE
299371	640	TRUE
299371	647	TRUE
299371	648	TRUE
299371	649	TRUE
299371	650	TRUE
299371	654	TRUE
299371	656	TRUE
299371	660	FALSE
299371	666	FALSE
299371	668	FALSE
299371	672	FALSE
299371	673	FALSE
299371	674	FALSE
299371	696	TRUE
299371	697	TRUE
299371	721	TRUE
299371	727	FALSE
299371	728	FALSE
299371	729	FALSE
299371	730	FALSE
299371	731	FALSE
299497	514	TRUE
308310	672	TRUE
308310	673	TRUE
308310	674	TRUE
308310	748	FALSE
308310	751	FALSE
308310	754	FALSE
308310	755	FALSE
308310	756	FALSE
309766	654	FALSE
309766	656	FALSE
309766	666	TRUE
309818	668	TRUE
310236	692	FALSE
310236	778	TRUE
310439	702	TRUE
310439	703	TRUE
310439	704	TRUE
310439	713	FALSE
310439	740	TRUE
310439	745	TRUE
310439	746	TRUE
310439	757	TRUE
310439	758	FALSE
310439	759	TRUE
310439	760	FALSE
312035	749	TRUE
312035	750	TRUE
312035	753	TRUE
312035	759	FALSE
312035	760	TRUE
312035	765	TRUE
312035	837	TRUE
312594	792	TRUE
312594	834	TRUE
312623	807	TRUE
312623	874	TRUE
312623	875	TRUE
312623	876	TRUE
312876	806	TRUE
313475	819	TRUE
313475	820	TRUE
314552	835	TRUE
314552	836	TRUE
315488	814	TRUE
315580	816	TRUE
315940	833	TRUE
315940	835	FALSE
315940	836	FALSE
317177	825	TRUE
320366	862	TRUE
320366	863	TRUE
320716	865	TRUE
322810	897	TRUE
327406	938	TRUE
333169	993	TRUE
334505	1028	TRUE
335047	1002	TRUE
335047	1008	TRUE
335047	1009	TRUE
335047	1011	FALSE
335047	1023	FALSE
335047	1024	FALSE
